ID,050A02,050A01,050A07,050A09,050A11,050A08
1748,0.522,0.528,21.9,1.216,0.064,0.474
1749,0.48,0.474,21.81,2.346,0.062,0.485
1750,0.383,0.428,21.7,2.312,0.05,0.473
1751,0.348,0.398,21.7,2.348,0.068,0.57
1752,0.314,0.354,21.7,2.314,0.076,0.568
1753,0.306,0.346,21.674,2.316,0.054,0.496
1754,0.286,0.33,21.6,2.312,0.05,0.46
1755,0.29,0.334,21.596,2.356,0.036,0.426
1756,0.324,0.37,21.598,2.342,0.046,0.42
1757,0.32,0.382,21.6,2.352,0.084,0.416
1758,0.312,0.36,21.672,2.368,0.078,0.418
1759,0.326,0.374,21.7,2.388,0.064,0.444
1760,0.31,0.368,21.7,2.392,0.072,0.45
1761,0.308,0.352,21.7,2.404,0.084,0.43
1762,0.3,0.34,21.7,2.386,0.076,0.436
1763,0.288,0.33,21.7,2.326,0.082,0.434
1764,0.278,0.32,21.7,2.308,0.078,0.42
1765,0.274,0.32,21.64,2.306,0.07,0.41
1766,0.27,0.318,21.6,2.328,0.088,0.396
1767,0.268,0.314,21.6,2.31,0.094,0.39
1768,0.28,0.32,21.53,2.294,0.088,0.386
1769,0.288,0.334,21.5,2.282,0.3,0.39
1770,0.296,0.352,21.5,2.3,0.122,0.384
1771,0.292,0.358,21.496,2.298,0.084,0.394
1772,0.302,0.366,21.41,2.332,0.06,0.4
1773,0.31,0.35,21.4,2.348,0.084,0.41
1774,0.332,0.388,21.4,2.368,0.086,0.42
1775,0.288,0.342,21.4,2.354,0.07,0.42
1776,0.292,0.336,21.4,2.344,0.072,0.426
1777,0.296,0.342,21.4,2.378,0.082,0.456
1778,0.278,0.326,21.454,2.36,0.09,0.426
1779,0.3,0.354,21.5,2.366,0.072,0.41
1780,0.284,0.334,21.5,2.378,0.062,0.416
1781,0.276,0.316,21.5,2.384,0.072,0.402
1782,0.296,0.374,21.5,2.364,0.088,0.418
1783,0.27,0.316,21.5,2.37,0.1,0.4
1784,0.26,0.318,21.5,2.26,0.098,0.4
1785,0.268,0.32,21.5,2.356,0.098,0.418
1786,0.252,0.322,21.5,2.344,0.084,0.42
1787,0.244,0.296,21.5,2.372,0.086,0.412
1788,0.26,0.318,21.5,2.342,0.088,0.402
1789,0.29,0.346,21.5,2.368,0.096,0.388
1790,0.314,0.374,21.5,2.348,0.09,0.37
1791,0.308,0.368,21.5,2.362,0.08,0.384
1792,0.312,0.374,21.54,2.356,0.092,0.408
1793,0.306,0.368,21.592,2.34,0.062,0.428
1794,0.304,0.368,21.624,2.356,0.094,0.43
1795,0.298,0.356,21.7,2.35,0.098,0.43
1796,0.3,0.364,21.7,2.338,0.1,0.43
1797,0.31,0.364,21.7,2.38,0.25,0.422
1798,0.304,0.366,21.7,2.36,0.354,0.42
1799,0.288,0.346,21.7,2.39,0.318,0.42
1800,0.316,0.38,21.7,2.406,0.304,0.426
1801,0.312,0.372,21.7,2.38,0.408,0.424
1802,0.302,0.36,21.774,2.388,0.35,0.412
1803,0.286,0.34,21.792,2.348,0.168,0.432
1804,0.288,0.34,21.798,2.39,0.08,0.432
1805,0.3,0.348,21.8,2.362,0.068,0.422
1806,0.326,0.382,21.8,2.352,0.07,0.408
1807,0.326,0.382,21.8,2.384,0.064,0.404
1808,0.34,0.398,21.8,2.386,0.064,0.42
1809,0.33,0.394,21.8,2.402,0.072,0.438
1810,0.33,0.396,21.8,2.388,0.076,0.444
1811,0.344,0.406,21.8,2.386,0.048,0.458
1812,0.36,0.418,21.8,2.364,0.052,0.452
1813,0.356,0.422,21.8,2.37,0.06,0.456
1814,0.396,0.464,21.8,2.392,0.066,0.464
1815,0.38,0.458,21.8,2.382,0.08,0.476
1816,0.376,0.456,21.8,2.358,0.064,0.484
1817,0.366,0.446,21.8,2.354,0.078,0.512
1818,0.346,0.418,21.8,2.342,0.076,0.504
1819,0.35,0.422,21.8,2.362,0.08,0.494
1820,0.36,0.43,21.8,2.36,0.064,0.486
1821,0.354,0.43,21.8,2.368,0.084,0.47
1822,0.326,0.402,21.8,2.328,0.078,0.47
1823,0.332,0.402,21.8,2.31,0.066,0.474
1824,0.362,0.436,21.8,2.342,0.086,0.474
1825,0.34,0.414,21.8,2.364,0.088,0.454
1826,0.308,0.368,21.81,2.38,0.08,0.454
1827,0.3,0.36,21.876,2.41,0.084,0.476
1828,0.28,0.344,21.862,2.294,0.074,0.462
1829,0.274,0.334,21.8,2.288,0.054,0.434
1830,0.282,0.332,21.796,2.284,0.09,0.418
1831,0.274,0.322,21.736,2.344,0.082,0.4
1832,0.292,0.342,21.724,2.406,0.078,0.4
1833,0.296,0.344,21.8,2.456,0.064,0.4
1834,0.308,0.356,21.8,2.408,0.078,0.4
1835,0.336,0.38,21.8,2.396,0.038,0.4
1836,0.344,0.402,21.8,2.362,0.044,0.414
1837,0.348,0.406,21.8,2.386,0.07,0.43
1838,0.358,0.42,21.8,2.382,0.078,0.45
1839,0.346,0.406,21.8,2.374,0.07,0.468
1840,0.334,0.398,21.808,2.372,0.064,0.474
1841,0.334,0.396,21.862,2.394,0.062,0.486
1842,0.334,0.386,21.9,2.344,0.044,0.476
1843,0.336,0.39,21.9,2.374,0.038,0.474
1844,0.33,0.378,21.9,2.388,0.076,0.472
1845,0.334,0.386,21.9,2.334,0.078,0.47
1846,0.32,0.37,21.9,2.384,0.092,0.466
1847,0.31,0.358,21.9,2.39,0.048,0.462
1848,0.31,0.358,21.9,2.216,0.022,0.464
1849,0.316,0.362,21.9,1.978,0.058,0.452
1850,0.32,0.374,21.814,2.296,0,0.44
1851,0.31,0.352,21.8,2.31,0,0.448
1852,0.306,0.352,21.752,2.3,0.008,0.456
1853,0.308,0.356,21.704,2.312,0.01,0.456
1854,0.312,0.372,21.7,2.32,0.05,0.44
1855,0.31,0.378,21.7,2.314,0.076,0.438
1856,0.314,0.376,21.7,2.332,0.016,0.442
1857,0.316,0.38,21.7,2.364,0.022,0.458
1858,0.312,0.378,21.652,2.378,0.002,0.46
1859,0.318,0.378,21.602,2.32,0.024,0.46
1860,0.324,0.37,21.6,2.302,0.026,0.47
1861,0.31,0.368,21.532,2.304,0.002,0.47
1862,0.312,0.372,21.5,2.314,0.034,0.462
1863,0.304,0.37,21.5,2.35,0.066,0.454
1864,0.31,0.364,21.478,2.302,0.086,0.448
1865,0.304,0.356,21.404,2.314,0.072,0.44
1866,0.276,0.34,21.4,2.336,0.056,0.44
1867,0.292,0.344,21.4,2.314,0.066,0.44
1868,0.268,0.324,21.4,2.346,0.084,0.44
1869,0.242,0.29,21.4,2.39,0.084,0.43
1870,0.248,0.29,21.4,2.35,0.084,0.428
1871,0.242,0.28,21.4,2.366,0.084,0.402
1872,0.24,0.27,21.358,2.324,0.078,0.372
